id	start	len	offset	name	program	britannia	towne	underworld	description
$87	$8800	$1200	$13600	lbtk		287			code (Lord British conversaion)
$88	$8800	$0a00	$14800	lbhp		288			code (Lord British help)
$89	$8800	$0200	$15200	dead		289			code (death)
$8c	$e800	$0200	$0b100	dng0				48c	dungeon (Deceit)
$8d	$e800	$0200	$0b300	dng1				48d	dungeon (Despise)
$8e	$e800	$0200	$0b500	dng2				48e	dungeon (Destard)
$8f	$e800	$0200	$0b700	dng3				48f	dungeon (Wrong)
$90	$e800	$0200	$0b900	dng4				490	dungeon (Covetous)
$91	$e800	$0200	$0bb00	dng5				491	dungeon (Shame)
$92	$e800	$0200	$0bd00	dng6				492	dungeon (Hythloth)
$93	$e800	$0200	$0bf00	dng7				493	dungeon (The Abyss)
$95	$8c00	$1000	$0cb00	dung				495	code (dungeon)
$9a	$8800	$1400	$0eb00	endg				49a	code (end game)
$9b	$4000	$1b00	$0ff00	infi				49b	graphics (end game)
$9e	$0400	$0400	$11e00	col0	19e				colors (title screen)
$9f	$9800	$0500	$12300	col1	19f				colors (cards)
